标题,详情
"Women Graphic Tees Y2K Aesthetic Oversized T Shirts Summer Short Sleeves Indie Clothes Harajuku Japenese Streetwear (Blue,L)",Our t-shirts are made from cotton 95% polyester 5% spandex
"Women Graphic Tees Y2K Aesthetic Oversized T Shirts Summer Short Sleeves Indie Clothes Harajuku Japenese Streetwear (Blue,L)",Summer casual print round neck short sleeve loose t shirt top.
"Women Graphic Tees Y2K Aesthetic Oversized T Shirts Summer Short Sleeves Indie Clothes Harajuku Japenese Streetwear (Blue,L)","Suitable occasions: Suit for casual, vacation, shopping, daily life and outgoing, easy to pair with jeans, shorts, skirt, etc"
"Women Graphic Tees Y2K Aesthetic Oversized T Shirts Summer Short Sleeves Indie Clothes Harajuku Japenese Streetwear (Blue,L)","Machine wash or hand wash in cold water, low heat dry or hang to dry."
"Women Graphic Tees Y2K Aesthetic Oversized T Shirts Summer Short Sleeves Indie Clothes Harajuku Japenese Streetwear (Blue,L)","If you are not satisfied with our tops, please contact us ASAP."
"Women Graphic Tees Y2K Aesthetic Oversized T Shirts Summer Short Sleeves Indie Clothes Harajuku Japenese Streetwear (Blue,L)",
