标题,详情
"YITTY Active Women's UltraLuxe Kick Flare High Waist Legging, Athleisure, 4-Way-Stretch","High-Waist Tummy Control: These leggings provide gentle core-smoothing compression, making these the perfect yoga pants for women, and comfortable for casual wear or the gym."
"YITTY Active Women's UltraLuxe Kick Flare High Waist Legging, Athleisure, 4-Way-Stretch","Curve-Enhancing Kick Flare: The trendy hem creates a flattering silhouette that highlights your curves. With contour details that lift and shape your booty, these iconic butt-lifting leggings for women are ideal for feeling confident during every activity."
"YITTY Active Women's UltraLuxe Kick Flare High Waist Legging, Athleisure, 4-Way-Stretch",Designed for Every Body: Available in sizes XS to XL with plus size options coming soon.
"YITTY Active Women's UltraLuxe Kick Flare High Waist Legging, Athleisure, 4-Way-Stretch","No Side Seams: Designed without side seams for a smooth, sleek look, these are perfect for transitioning from studio to street."
"YITTY Active Women's UltraLuxe Kick Flare High Waist Legging, Athleisure, 4-Way-Stretch","Buttery-Soft UltraLuxe Fabric: Crafted from buttery-soft, moisture-wicking fabric with 4-way stretch, these leggings provide light to medium compression and UPF 50+ protection. Available in 30"" and 32"" inseams for your perfect fit."
"YITTY Active Women's UltraLuxe Kick Flare High Waist Legging, Athleisure, 4-Way-Stretch",
