标题,详情
Nihsatin Women's Plus Size Lace up Ribbed Tops Casual T-Shirts Gothic Corset Top,"Model Height:170cm/ 5'5"", Bust:104cm/41"", Waist:76cm/29"", Wear Size 3XL, with Excellent Stretch, Soft & Comfortable;"
Nihsatin Women's Plus Size Lace up Ribbed Tops Casual T-Shirts Gothic Corset Top,"Waist with Double Grommet Lace-ups and Spaghetti Ties for Custom Fit. Loose Fit, Sleeveless, for Women Plus Size Tank Top, Gothic Look;"
Nihsatin Women's Plus Size Lace up Ribbed Tops Casual T-Shirts Gothic Corset Top,"Please DO NOT refer to the Amazon Size Chart. Check the one in the picture (the 3rd pic.) to choose the right size, thank you;"
Nihsatin Women's Plus Size Lace up Ribbed Tops Casual T-Shirts Gothic Corset Top,"Suitable for Outdoor, Party, Casual, Beach, Special Occasion;"
Nihsatin Women's Plus Size Lace up Ribbed Tops Casual T-Shirts Gothic Corset Top,Wash Instruction: Hand wash recommended; Do not Use Machine to Wash or Soak for too Long / Do Not Bleach / Hang or Line Dry.
Nihsatin Women's Plus Size Lace up Ribbed Tops Casual T-Shirts Gothic Corset Top,
