标题,详情
Lost Queen Women's Purse Handbag Shoulder Bag | Gothic Dark Goth Victorian,Lost Queen Women's Purse Handbag Shoulder Bag | Gothic Dark Goth Victorian (Black Cats Lunar Sisters)
Lost Queen Women's Purse Handbag Shoulder Bag | Gothic Dark Goth Victorian,Velvet Feel With Bat Motifs on Front
Lost Queen Women's Purse Handbag Shoulder Bag | Gothic Dark Goth Victorian,Shoulder Strap is Adjustable and Removable
Lost Queen Women's Purse Handbag Shoulder Bag | Gothic Dark Goth Victorian,Measures approx. 44cm x 32cm x 13cm (17.32in x 12.6in x 5.12in)
Lost Queen Women's Purse Handbag Shoulder Bag | Gothic Dark Goth Victorian,"Not just Gothic cool, elegance, style and class but all of this AND cats! Definitely one for the crazy cat ladies, this Lunar Sisters Bag comes from the good folks at Lost Queen. The front features a pair of flock velvet effect kitties on a starlit evening, sitting atop the moon whilst the background has a plethora of the critters on a black background. The main compartment is secured by a full width zip plus there's 2 separate inner zipped compartments for extra security."
Lost Queen Women's Purse Handbag Shoulder Bag | Gothic Dark Goth Victorian,
